File1,File2,sentence,sentiment,topic
cần nhiều bài tập hơn nữa .,negative,,,
giáo viên giảng dậy có kết hợp với các thông tin mới nhất .,positive,,,
đôi lúc không vui tính .,negative,,,
thêm các buổi học ngoại khoá .,negative,,,
không cho vừ vựng và bài tập thêm .,negative,,,
"dạy cho có , qua loa , sử dụng thời gian không hợp lý , nội dung 3 tiết dạy trong 3 phút .",negative,,,
"giảng viên tận tâm , nhiệt tình , còn trẻ nhưng kiến thức rất tốt .",positive,,,
"mong giáo viên có thể giải tham khảo đề thi các năm , hoặc các dạng câu hỏi của anh văn .",negative,,,
"thầy có tích hợp vừa học vừa chơi làm cho bài học không khô khan , và cô đọng lại , rất dễ hiểu , rất tận tình .",positive,,,
trước khi thi thầy dặn là đề thi có 70% trắc nghiệm nhưng thực tế lại 100% tự luận .,negative,,,
"chưa sinh động , hiệu quả giảng dạy kém hữu ích .",negative,,,
"truyền đạt kiến thưc tốt , dễ hiểu .",positive,,,
chữ viết trên bảng đôi khi hơi khó đoán .,negative,,,
khiến lớp không có hứng thú học .,negative,,,
thầy rất thiếu nhiệt tình .,positive,,,
"nâng cấp hệ thống máy vi tính trong phòng thực hành doubledot phòng thực hành altera không có kết nối internet , nên cần phải đảm bảo kết nối mạng để hiệu quả thực hành đạt hiệu quả cao hơn .",negative,,,
"nên hướng dẫn làm bài tập nhiều hơn , học lý thuyết quá nhiều .",negative,,,
không nên làm một bài tập nhóm quá lớn làm khó khăn cho sinh viên .,negative,,,
mong thầy tập trung vào nội dung giảng dạy .,negative,,,
trong khi yêu cầu của thầy thì phải đạt độ chuẩn xác rất cao mới qua được môn .,negative,,,
mong được là học trò của thầy nhiều hơn ạ .,positive,,,
giáo trình cần thay đổi theo hướng mới lạ hơn .,negative,,,
không nên dạy các môn toán trong giảng đường do khó quan sát bảng .,negative,,,
"cần có thêm các ví dụ liên hệ thực tiễn , chuẩn bị kỹ và giảng bài lưu loát hơn , thay đổi cách dạy để sinh viên được chủ động hơn .",negative,,,
giáo viên xinh quá .,positive,,,
phòng máy không đáp ứng được yêu cầu .,negative,,,
"giảng viên dạy dễ hiểu , nhiệt tình giảng giải cho sinh viên .",positive,,,
"lợi ích doubledot sinh viên rèn luyện kỹ năng làm việc nhóm , tránh tiếp thu thụ động , học được cách trình bày trước đám đông .",positive,,,
thụ động trong quá trình tương tác với sinh viên .,negative,,,
nên có thêm chỉ thực hành để cho sinh viên nắm rõ hơn về máy tính .,negative,,,
cần có bộ giáo trình chuẩn cho sinh viên trước khi bắt đầu học môn này .,negative,,,
bài tập quá khó .,negative,,,
"giảng viên có tâm , ân cần , nhiệt tình , dạy dễ hiểu .",positive,,,
"hoặc dạy thêm các kinh nghiệm khi phỏng vấn xin việc , xin học bổng , xin thực tập .",negative,,,
giảng viên nên giảng nhiều hơn .,negative,,,
cô nói hơi khó nghe và những điều học được ít gây được hứng thú nơi sinh viên .,negative,,,
giảng dạy rất nhiệt huyết .,positive,,,
hy vọng cô sẽ dạy kỹ hơn .,negative,,,
em rất thích phong cách dạy của thầy .,positive,,,
em hài lòng về chất lượng đào tạo của môn học này .,positive,,,
mong cô giúp đỡ nhiều hơn .,negative,,,
phụ thuộc vào slide quá nhiếu .,negative,,,
"môn học nên cho thêm nhiều dạng bài tập dưới dạng tiếng việt , vì trong giảng đường máy chiếu mờ , chữ tiếng anh nữa nhìn rất phiền phức cho những bạn ở sau !",negative,,,
giảng viên dạy còn hơi nhanh .,negative,,,
"cần có đề cương môn học cụ thể hơn , nội dung môn học cần được cập nhật .",negative,,,
"cô dạy quá hay quá xuất sắc , rất tâm huyết với nghề , cô nghỉ ngày nào sẽ bù ngày đó nhiều lúc còn bù thêm , cô chỉ rất cặn kẽ những vấn đề cần thiết .",positive,,,
nên có phòng thực hành để mô phỏng lại lý thuyết đã được học từ đó sẽ dễ hiểu hơn và nhớ lâu hơn !,negative,,,
"giảng viên nhiệt tình trao đổi , giải đáp thắc mắc của sinh viên .",positive,,,
em nghĩ thầy nên cho sinh viên phân tích nhiều bài toán hơn .,negative,,,
"cô rất nhiệt tình , giảng bài chi tiết , vui tính .",positive,,,
"năng động , nhiệt tình .",positive,,,
"giáo viên hướng dẫn chi tiết , nhiệt tình với sinh viên .",positive,,,
em rất vui khi được học tập dưới sự giảng dạy tận tâm của cô .,positive,,,
dễ thương coloncontemn .,positive,,,
cần có các tiết thực hành với trang thiết bị hiện đại .,negative,,,
giảng khá nhanh .,negative,,,
thường trễ 30 phút .,negative,,,
"thầy dạy nhiệt tình , rễ hiểu .",positive,,,
cho nhiều bài tập và hướng dẫn giải rõ ràng .,positive,,,
do môn này khó đối với em nên kiến thức thầy truyền đạt em thấy rất khó hiểu .,negative,,,
cô dạy rất tận tâm nhiệt tình .,positive,,,
"cô wzjwz257 dạy giải tích 2 rất chuẩn , truyền đạt tốt , dễ hiểu , rất hăng hái trong quá trình phân tích bài giảng , gửi tài liệu và bài tập đầy đủ , nhưng cô dạy có hơi nhanh .",positive,,,
"giảng viên không biết cách diễn đạt , nghỉ 2 tuần không thông báo trên moodle .",negative,,,
dạy hiệu quả .,positive,,,
giọng cô em nghe không được .,negative,,,
thầy nhiệt tình với sinh viên .,positive,,,
thời gian bài tập tương đối tốt .,positive,,,
"giảng viên giảng rất hay , bám sát thực tế , phần kiến thức học được có thể áp dụng được trong nhiều lĩnh vực , không riêng gì công nghệ thông tin .",positive,,,
"cô dạy rất tốt , nhiệt tình dễ hiểu .",positive,,,
"thầy tận tâm , nhiệt huyết , giải đáp câu hỏi của sinh viên , có bổ sung tài liệu tham để giúp sinh viên củng cố và nắm vững kiến thức .",positive,,,
cô thoải mái .,positive,,,
tạo không gian học tập vui vẻ !,positive,,,
thời gian lên lớp còn ít !,negative,,,
em cám ơn !,neutral,,,
"nhiệt tình , chịu khó lắng nghe !",positive,,,
"nhiệt tình , tâm huyết với sinh viên .",positive,,,
em rất hài lòng .,positive,,,
cô dạy rất nhiệt tình và có tâm .,positive,,,
"tuy nhiên , nếu được cô nên bổ sung các bài tập cá nhân về cả lý thuyết và thực hành , bên cạnh các bài tập nhóm thì sẽ giúp các bạn bổ trợ thêm kiến thức rất nhiều .",negative,,,
có nhiều bài tập hay .,positive,,,
"giáo viên dạy hơi lan man , không tập trung vào vấn đề chính của buổi học .",negative,,,
"cô quá khó tính , giảng bài chưa thật sự thu hút .",negative,,,
nếu như trên lịch thông báo giờ học từ đầu năm là thứ 7 thì em sẽ sắp xếp được lịch học phù hợp hơn .,negative,,,
"giảng viên hướng dẫn sinh viên nhiệt tình , giải đáp đầy đủ các thắc mắc .",positive,,,
thầy giảng giải nhiệt tình và rất dễ hiểu !,positive,,,
cô dạy chậm dễ hiểu .,positive,,,
không thấy không hài lòng về giảng viên .,neutral,,,
nâng cao chất lượng phòng máy .,negative,,,
sinh viên học thầy theo kiểu đối phó chứ thật chất không hiểu sâu vấn đề .,negative,,,
"giảng viên nhiệt tình , tâm huyết với sinh viên .",positive,,,
"thầy dạy đúng trọng tâm , dễ hiểu , vui tính , cách giải rất hay , rất chuyên nghiệp .",positive,,,
sửa bài cho sinh viên giúp sinh viên tiến bộ .,positive,,,
"thầy dạy tốt , nhiệt tình .",positive,,,
"giảng viên hòa đồng , vui vẻ , tận tình giải đáp thắc mắc của sinh viên .",positive,,,
"sử dụng dụng cụ dạy học có chất lượng tốt , ví dụ như máy nghe tiếng anh chất lượng tốt .",negative,,,
cô tạo mọi điều kiện thuận lợi nhất cho sinh viên học tập .,positive,,,
"không gian học thoải mái , giảng viên không tạo áp lực cho sinh viên .",positive,,,
"nhiệt tình , giải bài tập nhiều .",positive,,,
cô dạy rất hay !,positive,,,
giảng viên nên nói rõ ràng cho sinh viên nghe được và hiểu .,negative,,,
"tài liệu môn học cần trình bày rõ ràng , đầy đủ hơn vì nhiều chỗ trình bày rất khó hiểu .",negative,,,
"đồng thời , giảng viên rất tích cực , năng nổ trong việc giảng dạy , cung cấp cho sinh viên nhiều kiến thức bổ ích và cũng luôn vui vẻ , hoà đồng nhằm khiến sinh viên cảm thấy thoải mái khi đến lớp .",positive,,,
nên tóm gọn lại nội dung slide .,negative,,,
"vui vẻ , biết lắng nghe ý kiến của sinh viên .",positive,,,
"dạy rất từ từ , chi tiết , cho nhiều bài tập .",positive,,,
trường ta cần những giáo viên nhiệt huyết và tài năng như vầy .,positive,,,
"giảng viên nhiệt tình , dạy đúng giờ .",positive,,,
chúng em không theo kịp !,negative,,,
dạy hay và muốn học thêm nữa ở môn khác .,positive,,,
"dễ tính , thoải mái , không gây áp lực , tạo động lực phát biểu .",positive,,,
"giảng viên nhiệt tình , phương pháp giảng dạy hiệu quả .",positive,,,
"thầy giảng hơi khó hiểu , lên lớp hơi muộn , chưa đúng giờ .",negative,,,
giáo trình môn học quá mơ hồ nghèo nàn nên giảng viên cũng không biết nên dạy theo thế nào .,negative,,,
"giảng rất hay , giảng nội dung quan trọng không lan man .",positive,,,
nội dung truyền đạt để sinh viên thực hành chưa thực sự tốt .,negative,,,
thầy giảng bài rất hay và nhiệt tình .,positive,,,
"thầy rất nhiệt tình , dù lớp có vắng hay đông đủ .",positive,,,
"nhiệt tình , vui vẻ hòa đồng với sinh viên .",positive,,,
nhưng trong khi đó tụi em không hiểu một chút gì về môn học mà giảng viên đang giảng dạy thì chép vào để làm gì .,negative,,,
cô cho bài tập thực hành tại chỗ .,positive,,,
có nhiều trang thiết bị giảng dạy hơn .,negative,,,
"cần xem xét lại khi đặt ra những yêu cầu về chấm chéo đồ án các nhóm cũng như trong lớp doubledot quá nhiều yêu cầu , nhiều việc phải làm trong thời gian ngắn dẫn đến sự chuẩn bị không tốt từ các nhóm , vdotv .",negative,,,
chỉ điểm danh 3 buổi cuối rồi lấy điểm quá trình .,negative,,,
giảng hơi khó hiểu tý .,negative,,,
môn thực hành này chưa có tài liệu hướng dẫn .,negative,,,
hướng dẫn và đánh giá đúng kết quả học tập .,positive,,,
nhiệt tình !,positive,,,
"giảng viên có kỹ năng tốt , truyền đạt dễ hiểu , dễ áp dụng .",positive,,,
thầy điểm danh nhiều quá ạ colonsad .,negative,,,
cần thêm phần ngôn ngữ sql kết hợp với ngôn ngữ lập trình c để có thể lập trình được cho một cơ sở dữ liệu .,negative,,,
hiểu rõ khả năng từng sinh viên .,positive,,,
không nên nói là sinh viên phải nghiên cứu vấn đề này nhưng doubledot giảng viên phải cho mỗi chương khoảng 30 bài và có đáp án .,negative,,,
cô đưa ra nhiều hướng giải quyết khi sinh viên gặp vấn đề với đồ án !,positive,,,
giảng viên truyền đạt tốt .,positive,,,
slide bài giảng chất lượng kém .,negative,,,
"cho nghỉ nhiều , học bù trùng lịch với môn khác .",negative,,,
thầy chu đáo và tỉ mỉ .,positive,,,
"làm sinh viên khó liên hệ giữa lý thuyết và thực hành , dẫn tới không hiểu mình đang được học gì !",negative,,,
chất lượng đào tạo của môn học này đã tốt rồi .,positive,,,
nên đưa những giảng viên có kinh nghiệm dạy thực hành .,negative,,,
hơi khó nghe .,negative,,,
hướng dẫn thực hành nhiệt tình .,positive,,,
hay bỏ lớp hơn cả tiếng đồng hồ .,negative,,,
"nhiệt tình , tận tình .",positive,,,
thầy giảng dạy rất tận tâm .,positive,,,
áp dụng nhiều kiến thức thực tế .,positive,,,
sắp xếp lịch hợp lý hơn để không bị trùng lịch học của sinh viên .,negative,,,
"thầy dạy hay , dễ hiểu !",positive,,,
cô giảng bài và hướng dẫn làm bài nhiệt tình .,positive,,,
thầy giảng rất dễ hiểu .,positive,,,
"thầy giảng bài thú vị , dễ tiếp thu , dạy học vui tính và nhiệt tình .",positive,,,
"bài thi chả liên quan , và thật sự cảm thấy kỹ năng nghe và nói mới là cần thiết nhất .",negative,,,
"cô dễ thương , nhí nhảnh , truyền đạt dễ hiểu thấu hiểu tâm lý sinh viên colonsmile .",positive,,,
thầy dạy rất hay cho em hiểu được nhiều điều dot kết thúc môn học em cảm thấy nó rất bổ ích cho chúng em .,positive,,,
tương tác với sinh viên rất nhiều và giải đáp mọi thắc mắc dù về kỹ thuật lập trình hay liên quan đến máy tính .,positive,,,
"bài tập về nhà của thầy rất nhiều , rất hay .",positive,,,
giáo trình quá dài yêu cầu giảm bớt .,negative,,,
"nên cho thêm nhiều dạng bài tập của những phần được học ở gần cuối kỳ như chuỗi , cấu trúc .",negative,,,
thầy rất tận tâm trong công việc giảng dạy .,positive,,,
"tuy nhiên nhà trường dường như chưa thật sự đầu tư vào mảng câu lạc bộ về ngôn ngữ , kỹ năng quan trọng vô cùng cần thiết hiện tại của sinh viên .",negative,,,
thầy thực sự rất chuyên tâm trong giảng dạy và những bài giảng thực sự dễ hiểu .,positive,,,
"phòng thực hành quá kém chất lượng , máy móc không đảm bảo .",negative,,,
theo em giảng viên cần phân loại các dạng bài tập theo từng buổi học để sinh viên dễ tiếp thu hơn chứ không nên một lần tung ra quá nhiều bài tập trên moodle mà không hướng dẫn làm cho sinh viên cảm thấy nặng nề .,negative,,,
"kiến thức nhiều , dạy tốt .",positive,,,
wifi các phòng thực hành thường rất yếu .,negative,,,
cô rất nhiệt tình trong việc truyền đạt kiến thức cũng như sẵn sàng trả lời mọi thắc mắc của sinh viên .,positive,,,
"cô rất tận tâm , nhiệt tình và có trách nhiệm cao .",positive,,,
"giảng dạy dễ hiểu , ngắn gọn , không cầu kỳ .",positive,,,
chữ thầy hơi khó nhìn .,negative,,,
trong quá trình dạy thầy có liên hệ thực tế nhiều .,positive,,,
"nếu như một người không xem bài "" kỹ "" trước ở nhà .",neutral,,,
"cô tận tình giảng dạy , thân thiện .",positive,,,
"bài tập hợp lý sát bài học , dễ hiểu .",positive,,,
thầy chuẩn bị tài liệu thực hành cho sinh viên tốt .,positive,,,
nếu có thêm nhiều ví dụ trong slide cho bọn em dễ ôn bài hơn là tự tìm kiếm lúc quên .,negative,,,
khả năng truyền đạt của giảng viên còn gây khó khăn cho sinh viên .,negative,,,
thầy này không có dạy lớp em .,neutral,,,
giảng viên rất hay nghỉ giờ mà không có thông báo trước cho sinh viên .,negative,,,
"cách tổ chức thi giữa kỳ không hiệu quả , ảnh hưởng đến sự công bằng và kết quả học tập của sinh viên .",negative,,,
nội dung giảng dạy quá nhiều so với thời lượng môn học .,negative,,,
"cô giảng tận tình , dễ hiểu , thân thiện với học sinh colonsmilesmile .",positive,,,
"thầy tận tình , nhiệt huyết .",positive,,,
"giáo viên đến đúng giờ , dạy nhiệt tình và cho bài tập để làm .",positive,,,
nhưng chưa đảm bảo giờ bài tập coloncontemn .,negative,,,
thời gian thực hành ít .,negative,,,
kiến thức giảng viên truyền đạt là vô cùng súc tích và dễ hiểu .,positive,,,
em chưa được thầy dạy thực hành môn này .,negative,,,
hài lòng về mọi mặt của giảng viên .,positive,,,
"giáo viên dạy dễ hiểu và sinh động , không gây cảm giác nhàm chán .",positive,,,
"thầy dạy nhiệt tình , giảng bài chi tiết .",positive,,,
"cần có tài liệu bằng hình ảnh , video trực quan sinh động hơn , dễ nắm bắt bài học nhanh chóng hơn .",negative,,,
một môn học trong cùng một giờ chỉ nên có một giảng viên đứng lớp để đảm bảo sự liên tục của bài học .,negative,,,
nên trang bị rèm che cửa .,negative,,,
"nghỉ nhiều , khả năng truyền đạt chưa cao , chưa thực sự làm môn học thu hút .",negative,,,
kiến thức có ích cho công việc sau này .,positive,,,
"có hoạt động outdoor , rèn luyện kỹ năng quay phim , dựng phim .",positive,,,
sử dụng hệ thống nộp bài và chấm điểm bằng wecode và hackerrank chưa chính xác .,negative,,,
tận tình trong việc giải đáp thắc mắc của sinh viên .,positive,,,
"bài tập trên lớp làm quá nhanh , có thể không theo kịp .",negative,,,
"thầy dạy rất nhiệt tình , không bao giờ về trc giờ ( thêm giờ nữa chứ ) cái diễn đàn của thầy rất hiệu quả , nói chung thầy tốt .",positive,,,
mong thầy sẽ sửa bài tập về nhà nhiều hơn ( nếu có thời gian ) .,negative,,,
cần giáo trình hay hơn .,negative,,,
"giáo viên nhiệt tình giúp đỡ sinh viên , thân thiện .",positive,,,
đến lớp hơi muộn do giao thông .,negative,,,
"phần thi nghe , nhà trường nên trang bị hệ thống loa cho tốt , chứ máy cassette mấy bạn ngồi ở cuối lớp không nghe được gì cả quá nhỏ ồn .",negative,,,
"thầy rất nhiệt tình truyền đạt kiến thức , và giải đáp mọi thắc mắc của sinh viên , cung cấp tài liệu lý thuyết đầy đủ và có chọn lọc .",positive,,,
dù sao em cũng cám ơn thầy đã dẫn dắt bọn em ở học kỳ hai này ạ .,neutral,,,
"dạy đầy đủ kiến thức trên lớp , giảng sâu vào bài khiến sinh viên hiểu bài rõ ràng hơn .",positive,,,
giảng viên truyền đạt hơi khó hiểu .,negative,,,
cố gắng giảng lại đến khi sinh viên hiểu bài mới thôi .,positive,,,
vui tính dạy cũng dễ hiểu .,positive,,,
"cô hay cáu gắt , khó tính , cứ hay giận dỗi .",negative,,,
kiến thức rất nhiều và trừu tượng giảng viên nên thêm những phương pháp giảng dạy mới cho giờ học hiệu quả hơn .,negative,,,
phòng máy ngon hơn .,negative,,,
giáo viên dạy nhiệt tình dễ hiểu .,positive,,,
giao nhiều bài tập về nhà .,negative,,,
giảng bài rất hay .,positive,,,
phù hợp với thực tiễn .,positive,,,
"thầy dạy nhiệt tình , giải đáp thắc mắc của học sinh một cách tận tình .",positive,,,
thực hiện nhóm nhiều .,neutral,,,
nội dung giảng dạy còn quá chung chung .,negative,,,
"dạy kỹ , sinh viên học cảm thấy dễ hiểu , vận dụng được nhiều kiến thức để học môn này .",positive,,,
"thầy không dạy kỹ , bỏ sót một số phần và không sử dụng giờ lên lớp hiệu quả , học theo cdio nhưng không có khác biệt quá lớn với các lớp khác , thất vọng .",negative,,,
"thực sự phải học toán suốt 3 năm cấp 3 và chưa kể năm 12 , và lên đại học phải học toán thì là 1 cảm xúc khó tả , vừa ngán và vừa nản .",negative,,,
bản thân em chưa học qua môn tấn công mạng nên những kiến thức ở môn bảo mật internet còn khá mới với em .,negative,,,
thầy chưa chuẩn bị bài kỹ khi lên lớp .,negative,,,
phần sửa bài tập quá nhanh .,negative,,,
"nhiệt tình , hiểu học sinh .",positive,,,
báo cáo cuối kỳ thầy tập trung cả lớp trong một buổi .,neutral,,,
thầy có vẻ hơi có chịu .,neutral,,,
"dễ hiểu , chỉ bảo tận tình !",positive,,,
thầy rất thương học sinh .,positive,,,
giảng viên cần chú ý quan sát sinh viên hơn và hỏi xem sinh viên nào chưa hiểu .,negative,,,
"cô dạy rất hay và very good , đặc biệt cô còn bổ sung nhiều kiến thức nâng cao hơn để sinh viên đươc học tốt hơn .",positive,,,
nội dung thi cũng chỉ toàn lý thuyết .,negative,,,
khiến sinh viên cảm thấy tiếp thu nhanh .,positive,,,
"giảng viên rất nhiệt tình , giảng dạy khá kỹ càng .",positive,,,
"nâng cao kiến thức cho sinh viên rất tốt , giảng dạy dễ hiểu .",positive,,,
he's very funny .,positive,,,
cần có giảng viên có đầy đủ kiến thức và kinh nghiệm giảng dạy về môn học này .,negative,,,
chưa chuẩn bị bài giảng kỹ càng trước khi lên lớp .,negative,,,
luôn có ví dụ minh họa thực tế .,positive,,,
khổ lắm .,negative,,,
"cô dạy nhiệt tình , dễ hiểu , quan tâm sinh viên .",positive,,,
môn này chủ yếu là để làm nhóm .,neutral,,,
"thầy dạy dễ hiểu , sẵn sàng giúp đỡ sinh viên , tận tâm , nhiệt tình .",positive,,,
"giáo viên nhiệt tình , đảm bảo giờ lên lớp , dạy kỹ .",positive,,,
"thầy ít hướng dẫn các bài tập , cách vận dụng kiến thức cần thiết vào bài tập thực tế .",negative,,,
cô rất dễ chịu colonsmile .,positive,,,
nên có nhiều bài tập vận dụng về nhà cho sinh viên .,negative,,,
nội dung môn học nên được cập nhật .,negative,,,
chưa tận dụng hết thời gian môn học để truyền đạt cho sinh viên còn yếu .,negative,,,
hợp tác .,neutral,,,
cô dạy khá dễ hiểu .,positive,,,
"thực hành em không có học với giảng viên này , da có thể nhầm lẫn gì chăng .",negative,,,
"cách dạy thực hành với những ứng dụng thực tế rất hay ( thực hành trên tín hiệu âm thanh ) , khiến cho học sinh có cảm giác muốn học , không giống như khi làm các bài tập gò bó , quy củ .",positive,,,
"giảng viên hay thường xuyên quên up slide lên courses cho sinh viên , trong quá trình học sinh viên đã nhắc rất nhiều lần nhưng giảng viên quên up , đề nghị giảng viên xem xét lại vấn đề này .",negative,,,
hay gây buồn ngủ .,negative,,,
tốc độ giảng dạy phù hợp để sinh viên có đủ thời gian để tự thực hành kiến thức vừa học ngay tại lớp .,positive,,,
"theo em , môn học cần có sự hệ thống lại , đặc biệt nêu rõ các mối quan hệ giữa các bài với nhau , giúp sinh viên vận dụng tốt hơn kiến thức của mình .",negative,,,
cách truyền đạt kiến thức vẫn chưa tốt .,negative,,,
"nên tổ chức các buổi dã ngoại để học các kỹ năng hoặc mời các doanh nghiệp về nói chuyện , truyền đạt kinh nghiệm .",negative,,,
thầy rất vui tính .,positive,,,
phòng thực hành có quá nhiều máy bị hỏng .,negative,,,
"khả năng nghe , đọc hiểu được nâng cao .",positive,,,
rất thích phương pháp giảng dạy của thầy .,positive,,,
"thầy nghỉ không báo trước quá nhiều , số buổi lên lớp 50% .",negative,,,
"thầy dạy thì nên dạy sớm để dễ học , dễ nhớ , ban đầu thầy ít dạy vào kiến thức chính , đến giai đoạn cuối của kỳ là khi bận rộn nhiều thì thấy mới bắt đầu dạy kiến thức .",negative,,,
có tinh thần trách nhiệm cao .,positive,,,
cách giảng dạy còn hơi khó hiểu .,negative,,,
"chẳng hạn , sinh viên chuyên ngành mạng thì không nên quá đào sâu vào nội dung mà chỉ cần đưa ra những nội dung nền tảng , cần thiết nhất .",negative,,,
ngôn ngữ thực hành nên trang bị trước cho sinh viên .,negative,,,
"bài tập lớn mà thầy wzjwz74 đưa ra cũng khá là chung chung , không yêu cầu rõ ràng , cụ thể .",negative,,,
đôi lúc không đi sâu vào vấn đề dạy .,negative,,,
giáo trình phần căn bản về web lặp lại các môn khác nên học rất nhàm chán .,negative,,,
ảnh hưởng đến việc thực hành .,negative,,,
"giảng viên truyền đạt kiến thức tốt , có nhiều kinh nghiệm , phát âm tốt .",positive,,,
"giáo viên lên lớp đều , giảng bài tích cực .",positive,,,
có lúc nhiều vấn đề trong bài học giáo viên chưa giải đáp được .,negative,,,
giáo viên dạy nhiệt tình và dễ hiểu .,positive,,,
"cô dạy nhiệt tình , truyền đạt kiến thức tốt .",positive,,,
nên cân bằng hai bên .,negative,,,
giáo viên không đến lớp trong các buổi thực hành nhưng không báo trước .,negative,,,
sự nhiệt tình của thầy cô .,positive,,,
máy chiếu phòng wzjwz3 cần được sửa chữa hoặc thay mới để lớp có đủ điều kiện học .,negative,,,
"thầy chuẩn bị tài liệu , slide khá ok , đủ để người xem hiểu được .",positive,,,
"nên cho sinh viên hiểu rõ tổng quát của môn hoc ngay từ đầu học những gì , học để làm gì , và nó ứng dụng trong thực tế như thế nào ví dụ cụ thể .",negative,,,
"thầy dạy hay , dễ hiểu và nhiệt tình .",positive,,,
giáo viên cực kỳ nhiệt tình .,positive,,,
cô rất tận tâm và quan tâm đến sinh viên .,positive,,,
giáo viên tận tâm nhiệt tình .,positive,,,
"thầy giảng hay , đưa ra ví dụ dễ hiểu .",positive,,,
dạy muôn từ 15 - 20 phút so với giờ quy định dù lên lớp đúng giờ khiến cho việc sắp xếp những công việc sau giờ học của sinh viên gặp khó khăn .,negative,,,
hỗ trợ sinh viên tối đa .,positive,,,
bài tập đa dạng và phong phú .,positive,,,
giảng viên nhiệt tình trong khi dạy .,positive,,,
em không có ý kiến gì thêm .,neutral,,,
môn học khá khó .,negative,,,
"thầy nhiệt tình trong quá trình giảng dạy , có thêm video cho học sinh về tự học thêm .",positive,,,
"cô giải nhiều bài tập , dạy dễ hiểu .",positive,,,
cô giúp cho tụi em xác định được mục tiêu và mong muốn đạt được khi học môn học này .,positive,,,
"giảng viên tận tâm , nhiệt tình với học sinh .",positive,,,
theo quan điểm của em về các môn học chuyên ngành của sinh viên thì nhà trường không nên bắt buộc sinh viên phải thi học kỳ để lấy điểm số .,negative,,,
em cảm ơn .,neutral,,,
em cám ơn .,neutral,,,
"thầy nên chia nhóm theo ngành , để các bạn có thể trả lời những câu hỏi sâu về ngành mình đang thuyết trình , ngành mình đang học .",negative,,,
"luôn dạy quá giờ ( khoảng 30 phút ) , ảnh hưởng đến giờ trưa của sinh viên và truyền đạt không được thu hút .",negative,,,
giảng viên cần nhiệt tình hơn trong công tác giảng dạy .,negative,,,
thầy dạy rất tận tâm và nhiệt tình !,positive,,,
"nhiệt tình giúp đỡ , cho nhiều bài tập hữu ích và thực tiễn cao .",positive,,,
giảng viên khó có thể truyền đạt hết kiến thức .,negative,,,
"nội dung thầy giảng mang tính cập nhật , có nhiều nội dung hay .",positive,,,
"tiết học rất thoải mái , dễ tiếp thu .",positive,,,
gửi mail không trả lời .,negative,,,
thầy cần hướng dẫn các bạn làm bài tập khi mới bắt đầu thực hành vì các phần mềm dùng thực hành có mới với các bạn sinh viên .,negative,,,
"thầy dạy rất ổn , bổ sung vững kiến thức lý thuyết .",positive,,,
"chất lượng giảng dạy tốt , em rất hài lòng với cách dạy của cô .",positive,,,
giảng viên tích cực .,positive,,,
"thầy vui tính , dạy hay , đầy đủ kiến thức để thi .",positive,,,
thường xuyên hỗ trợ sinh viên qua diễn đàn .,positive,,,
"slide khá nhiều chữ khiến sinh viên hơi buồn ngủ , ít hình ảnh , ví dụ minh họa .",negative,,,
dạy và ôn tập tận tình .,positive,,,
giáo trình môn học nên cập nhật thường xuyên .,negative,,,
"tận tình , giảng dạy dễ hiểu , vui vẻ .",positive,,,
thầy giảng rất tận tâm .,positive,,,
"tận tình , cung cấp thông tin và giải đáp thắc mắc tốt .",positive,,,
bù lại cách chấm điểm sẽ đặt nặng phần hiểu vấn đề hơn như thầy wzjwz119 đã từng trình bày .,negative,,,
giáo viên nhiệt tình vui tính .,positive,,,
cách truyền đạt qua lời nói khó hiểu .,negative,,,
"phòng học được trang bị tốt hơn , đảm bảo tốt cho công tác giảng dạy .",neutral,,,
"chuyên môn sâu , nhiệt tình , hiệu quả trong giảng dạy , vui tính , dễ hiểu .",positive,,,
"vui tính , dạy dễ hiểu .",positive,,,
"giảng bài cụ thể , chi tiết .",positive,,,
"hình thức 2 cần có sự phân bố thời gian gặp sinh viên hợp lý , không thể để cuối kỳ , gặp rồi cho đồ án liên tục , ảnh hưởng đến việc ôn tập cho kỳ thi cuối kỳ của sinh viên .",negative,,,
cô dễ thương quá em nhìn cô nhiều hơn nhìn code cô viết colonsmallsmile !,negative,,,
thầy dạy tốt nhưng cần giảng mẫu cho sinh viên nắm bắt trước khi giao bài tập về nhà .,positive,,,
em biết là cô rất buồn vì chúng em không chú tâm tới môn học của cô .,negative,,,
giảng viên dạy tốt .,positive,,,
"kiến thức giảng hơi khó hiểu , nhưng giải bài tập hay hướng dẫn sinh viên làm bài thì dễ hiểu và còn tận tình chỉ bảo cho sinh viên những gì không biết , cô có thể nói lại , giảng lại một vấn đề vài lần nếu sinh viên vẫn chưa hiểu !",positive,,,
dạy đúng theo giáo trình .,positive,,,
"mong giảng viên chủ động trong việc truyền đạt kiến thức hơn , tránh trường hợp đợi hỏi mới trả lời , vì sinh viên làm sao biết cái mình cần hỏi đề hỏi khi lực học mới chỉ ở mức trung bình .",negative,,,
cần giảng dạy kỹ phần trigger các từ cơ bản vì tìm kiếm trên mạng tương đối khó khăn dù chúng tương đương lập trình cơ bản .,negative,,,
"thầy nhiệt tình , giảng kỹ , tận tâm với sinh viên .",positive,,,
"giảng viên cần có kỹ năng sư phạm , truyền đạt nội dung môn học , thái độ nhiệt tình hơn .",negative,,,
