,sentiment,content
5591,sadness,@jvfriedman can't! need to work on overtime project at lunchtime.    Sorry!
5595,happiness,"@garageglamorous I agree, 'Paparazzi' waz an amazing vid, I luved it, but felt bad cuz it waz leaked &amp; I watched it"
5596,happiness,Whoop! I got a prom date today! Who knew? Ha-ha! But I can't tell you who.
5604,sadness,"So now, I have conjunctivitis in my left eye. Is this a sign of something? What did I do wrong to deserve this?LOL I'm dying people!"
5606,sadness,is very disappointed that cadbury chocolate blocks got smaller
5609,sadness,Hicks are mean!
5611,sadness,I miss my baby
5612,happiness,@conorp YES!!! one final party  better make it a good one !! how much mpre stuff you got to go?
5613,sadness,@myhaloromance My camera is brokennn
5617,sadness,@hippyofdoom I didn't even get a chance to shop @ Aldi!
5618,sadness,@bunburyette Come online! I need someone to talk to
5619,sadness,@Jenfidel Thanks I decided to just give up on my old HQ and go with this account. Scoundrels won
5627,sadness,My back is killing me. Stupid softball
5630,happiness,tired and all i want to do is play random songs on my gitwar but i have to do my drama essay.
5634,sadness,"Again, I'm stuck in traffic jams ... Somewhat starting to be the same situation every day. That's sad, really"
5635,sadness,Irony: Inventor of Ford Mustang can't keep his car   http://tinyurl.com/lpmvtk via @JeffHolton:
5642,sadness,@morethanfine I wish we could make a quick trip to LA in July  I miss LA
5643,sadness,@THE_WOCKEEZ @DonnieWahlberg Don't wanna miss ANY of your shows...you guys kick it! Sad to say...my plane is in the shop...
5645,sadness,Conference call arranged for 4.30pm today just blew my leaving early out the window
5648,sadness,@AyeshaM13 bored in class. I wanna go home.
5659,sadness,@Subville ...snuggles you back......everyones telling me to get over it ...but ive had her 15 years  x
5661,sadness,Why do you hurt me? Does it bring you joy to see me cry? You know I love you more then anything and yet u break my heart everyday!
5662,sadness,"My feet are killing, I've walked miles in search of an art shop...doesn't seem like Ealing has one"
5663,sadness,RIP to officer Edwards. May GOD continue to bless his family. What's up wit cops killing cops. Seen the same thing happen on &quot;The WIRE&quot;.
5668,happiness,@darrynstorm hey hey..i'm only finishing on the 10th of june
5671,sadness,I want to see Drag Me to Hell. But I get the feeling none of my friends will go w/ me
5679,sadness,@agoodeye I am soooo disapoointed I couldn't make it  I will be there next time! Glad it was productive.
5687,sadness,why does zero have to have thomas in it?
5688,sadness,@frazzel It wouldn't let me download it cos it said I'm the UK. I had a little cry.
5690,sadness,Ahhh I'm engulfed in shooooes. Who told me to buy so maany damn shoes
5697,sadness,@hummingbird604 yeah it can be tough some times..
5701,happiness,I finished @Melzer 's Zombie Chronicles a few days ago. It was bittersweet. Now I need something new for the gym
5704,sadness,Another day in jury duty.
5712,happiness,"@joycecherrier Awww. Don't mean to sound like an overgrown age 37 baby, but I'm still stick. Not as bad as yesterday, but still bad."
5721,sadness,is very upset to see carys and donna go today    miss you both hugely already!!! (Yes ok its only been like 3 hours) haaa..waaaah
5724,happiness,in park slope brooklyn working the bust photoshoot. this is so exciting! &amp;no more fever! but my tonsils are the size of golfballs
5733,sadness,is sitting at home wishing that i didnt have to work today. ask for it off and still have to work
5734,happiness,@jami_hirsch: Thanks for the follow! Wish I were out of my 9-5!   plan to open a shoppe in TC when the economy turns.
5736,sadness,"I was so close into entering Pogue 's book today &quot; World according to twitter&quot; , yet now I seem so far.!!!!!!!!!!!!"
5738,sadness,On the road again. I miss my traveling traveling partner
5748,sadness,i wish i could go to meet in the middle tomorrow.
5756,happiness,TGIF!! Its a GORGEOUS day in Reno today. And I'm stuck inside.
5760,happiness,@emILLyschwindt thanks lady.... bummer for sure.
5763,sadness,@GatorsNow my feelings are hurt
5767,sadness,Oh man....my fiance just got off work and I start mine in 1 hour....so not fair.....
5777,sadness,@Lizzidoll I wish I was in va too
5783,sadness,"@MikeandBobShow   Awww, that wasn't very nice."
5788,sadness,Frank from UPS' last day today...  sad to see him go   best delivery guy EVER!  Hope the new guy is NOT a fucktard...
5790,sadness,@jacobmaestas I don't think I'll ever have one of those again
5795,sadness,@wethehunter there is no sun here in florida..it's all rainy and cloudy.
5796,sadness,its so sad when the dad dies  hakuna matana it means no worries for...
5807,sadness,@_supernatural_ http://twitpic.com/6695k - Awwww poor boys! *cries* So sad..
5808,sadness,@andyjih Yep...sadly I only had 10 min before a meeting!
5817,happiness,"is in class, trying to listen but I really like twitter, facebook, .&amp; myspace  oh yeaaah .&amp; I'm hungry!"
5826,sadness,@ohitsbigron Dang... that IS disappointing
5827,happiness,"Wicked, my DVB-S tuner card has arrived. Although not sure I'll be able to get it all set up ready for the FA Cup final tomorrow"
5829,sadness,"TGIF.,..i wish that saying applied to me, but i work Saturdays"
5841,sadness,damn i miss my bf
5846,sadness,@THE_WOCKEEZ I'm missin u guys by a day!! Ill b there tomorrow  butttt see u june 18th with the blockkkkk!!!!
5858,sadness,"@anomalei Well, I'm glad I'm not the only one! Mine's so bad I'm having to resort to pulling out the old hairband disguises..."
5867,happiness,"Up and at em... got a big To Do List for today, and hubby has to work   But then weekend is going to be just us... I think!"
5871,happiness,@katiesol It re-entered my brain orbit thanks to me watching Ryan Reynolds mugging away in &quot;Just Friends&quot; recently
5872,sadness,I'm going to stop tweeting and do my LSAT studying now.
5873,sadness,"@glamorousamanda I wish i could have a pole, we got no space for it  maybe i should throw out some furniture and get a pole"
5874,sadness,what am I going to do without my @brandinmusic?!  SKYPE! haha
5876,sadness,"I miss my Jeep  Now I have to bum a ride to the dreaded, horrid Walmart. Boo."
5877,sadness,Damn fallout 3 is a hard game
5881,sadness,@LiamJHayter  Chroma Key coolness ... When are the cumulus seminars going online couldn't see the live feed here
5882,sadness,@freecitysoul my film didn't come out  the camera was broken. lamesauce.
5884,sadness,"@lifeasiceyit Yessum.  We'll see how this year goes... maybe I can head back in Oct, when the rates go down. I wanted to go for my bday"
5886,sadness,I think I'm about to break my own heart. (as emo as that sounds)... meh.
5888,sadness,dammit i cant watch stadium music
5889,happiness,"Just got in a nasty argument with someone I normally like very much.  She doesn't forgive well, either"
5894,sadness,Laying in bed sore and snuggeling domino... I don't wanna work out today
5896,sadness,@Jo_Saunders09 haha lol where have you been going?...I haven't really been out lol..I've been a hobbit..n my mums like keep revisin beck
5898,sadness,It's raining  I can't go out to jogging... I have to do it in my house gym...
5901,sadness,thought I was going to have a fun day
5904,happiness,@dreamobscene I know how you feel  Have a lovely relaxing weekend!
5905,sadness,Felt one tooth without the braces bracket. I got soooo hype
5912,happiness,"@LizzieCoulter oh dear. (I'm sorry, but i laughed  )"
5914,happiness,@aidadoll he thinks he's a gangsterrr  his ass don't even fit in G Unit. &amp; I know :| )))))
5917,sadness,this phyllis hyman unsung story is so SAD
5927,sadness,at work with a HUGE headache
5928,happiness,This is my anthem right now.... don't leave me high and dry.  ? http://blip.fm/~79fcr
5929,sadness,i feel like shit
5930,sadness,@maximillian62 Oh dear... that's just... disturbing.   The coffee connoisseur in me just died a little.
5931,happiness,@_Enigma__ OMG daon't tell me you have watched twilight enuff to know that !!
5937,sadness,Got people don't let me skip sci pratical becos skola is impt and dont waste my parents money.  Nt fair.
5938,happiness,Woot. just had my interview! went awsome! I didn't get to talk with Mr. Johnny thought...  oh well I still did really good!
5940,sadness,my knees are sore after physio
5945,sadness,My coffee got cold blah!
5947,sadness,i lost my phone.
5949,sadness,Why Does She Keep Trying To Hurt Me? Aren't The Tears I've Cried In The Past Few Months Enough?
5950,sadness,it is always sunny on days when i can't possible be outside.  life is out to get me
5957,sadness,"@_katieedwards I can't yet back, I've run out of texts!  I'll ring you laters xoxo"
5959,sadness,@ingek73 I'm on blip but can't get it to work on me iPhone
5960,sadness,Got people don't let me skip sci pratical becos skola is impt and cannot waste my parents money.  Nt fair.
5966,happiness,Finally on my way home
5967,happiness,"crap. have to break my &quot;no work in weekend&quot; rule  so much overloaded with work. aargh, hate it!"
5977,sadness,Awww sunthings wrong w/ my ubertwitter last nite.
5978,sadness,am about to sell my Medieval trading pavillion... v sad
5980,sadness,Ordered a new computer! Unfortunately it won't get here until the end of June.
5981,sadness,Two dozen roses sent  overnight and delivered this morning. Just found out the recipient is out of town!! Sad
5983,happiness,I get to drive my dad to the airport so he can fly to Vegas for the WSOP... I wanna go to Vegas...
5985,sadness,Ewww just printed my new I.d badge thingie 4 work n eww my picture. I took so many n they were all ugly
5986,happiness,just about to say goodbye to @karenbrady and @agneslikaite two of the best interns that Elevate have ever had
5991,sadness,@godiegogo12 well atm anyway i'm only managing cos i have no musical talent ps horrible thing to say bout rove
6006,sadness,@mileycyrus yeah me too  but there isnï¿½t any prom here in germany although school is almost everywhere the same! ?
6013,sadness,@JinxCat I have been failing at cooking lately  makin me sad. Duno how to cook for less than an army. I need to practice flour tortillas.
6016,sadness,I need to get back into daily tweeting. This hiatus sucks  What also sucks is GSN interrupting shows while they're airing. &gt;_&lt;
6017,sadness,god opened the clouds and said i hate you josh
6030,sadness,@autismvox for me they're not
6031,sadness,"omfg, my head"
6032,sadness,My job sucks!!!
6033,sadness,@jodywhitesides So sorry I missed it!
6036,happiness,@tiyephoenix I have to DJ 2 gigs on 6/20. no bk hh fest for me  so please keep me posted on live dates
6037,sadness,Busy day! No time to tweet  Bmore what's happening this weekend?
6041,sadness,missss my friends and plav  time for a long day of work hahah
6042,sadness,so so tired..
6044,sadness,@judez_xo they were so pretty and took like an hour to do  CAN I DO URSSSSS!
6047,sadness,@ghostexecutive Bummer   was going to try and make it/ other commitments I'm afraid got into the way.  Next time hopefully-
6050,sadness,is tired and sad
6053,happiness,looks like another sober weekend ahead...
6056,sadness,@Yurges loadsa shizze has happend  IM SO UPSET..
6058,sadness,why does my life suck?
6061,sadness,UGH! Poor Beautiful Girl. Went in for new tires and inspection sticker. Now there's a $590 repair and still no tires.
6063,sadness,"FreeSat's coverage (Sky dish) is really, really bad at the moment, blocks all over the place, really annoying!"
6065,sadness,My computer died
6066,sadness,Conference call with HP.  They gave me an invalid pass code so I can't attend
6067,sadness,@DaneFiori The thought of splitting the estate is depressing of course! (KIDDING!) I don't like the thought of my parents dying
6068,sadness,@Flickie I'm dead bored. but also dead poor! Student life is a piss take!
6071,sadness,Massive headache
6076,sadness,So annoyed I missed Mitch Benn @ Lemon Tree. damn you What's On!
6077,sadness,oh no! I just crashed my ball pump
6082,sadness,"Wish we had a garden so we could have a bbq tonight...  might set up a lounge bbq type thing, that'll work. #fridayfirehazzard"
6086,sadness,@brittanytastic aww  that's horrible! xD
6090,sadness,OH. I am just so tired.
6096,sadness,My poor phone is nekkid without its cover.
6110,sadness,Well thats that then. Exam failed and bsc gone
6111,sadness,"@ecorazzi Grrr, people suck. I cry when animals die on nature shows.  These people are sick. No hunting endangered species!"
6121,sadness,"@AnnieAreYouOhK No, it's annoying and makes us girls that follow sports and are knowledgable look dumb"
6129,happiness,@DJClicheDarknes I haven't had a good homemade flour tortilla in ages.
6135,sadness,Everything is annoying me today
6141,sadness,@Alice286 lucky girl!!! I work all day tomorrow! and maybe even Monday!!
6146,sadness,I need some cheering up
6153,sadness,soo tired.. still kinda angry that i missed the concert
6154,sadness,Stupid competition stuff keeps getting in the way  But I am going to get some words in today if it kills me   @heather_writes
6155,sadness,leaving now  off to get my angry teethed pulled....
6159,sadness,@Disney_Dreaming what?! miley's gonna quit hannah montana?...i don't wanna believe it!
6164,sadness,@Nisher Yeah yeah? How the heck are you anyway? Sastch it up again this year? I had to bail out for lack of expenses
6170,happiness,"Ok, I'm going outside...wish i was playing basketball  oh well..."
6173,sadness,crying real tears
6174,sadness,No launch today. Teacher changed plans and we watched a stupid move about tesla
6176,sadness,my blow torch has broken  this is a REAL bummer
6178,sadness,@Spiffums I wasn't near him.
6195,sadness,My TI89 died. I don't know why.
6196,sadness,So sad I'm going to miss seeing Pennywise again this year
6199,happiness,@Sak_Pase I guess u ain like me den.. My hair cut short..  lol
6209,happiness,@Spitphyre well good luck with #twpp in an hours time i think i will be on my way home  have fun!
6213,sadness,@thejiggerjames  not the same.. Can we party tonight jig
6218,sadness,Hates moving
6221,sadness,"sooooo, i just dropped my phone.  don't text or tweet me, i'm currently banging my face against a spike covered poison ivy infested wall."
6224,sadness,Missin my boo
6229,sadness,Murray just got broken
6234,sadness,"is enjoying a yummy salad, but missing her avocado  that's what happens when your husband does the grocery shop."
6236,happiness,"[stapler haiku] Whar a Night! Woo Hoo! Yeah! / A beautiful night to party! / Oops, I'm a stapler..."
6246,sadness,@roxeecruz ur linky no worky
6253,sadness,listening through the Mendeed discog once again. I still think their disbanding is a loss.  #metal
6255,sadness,My friends are mocking my weekend!  @JamesPMacDonald have they been talking to you?
6264,sadness,you wanna know what's worse... my coworker just brewed a fresh cup of coffee and all I can think about is bacon
6270,sadness,@TysonDueck Too bad.
6275,happiness,i'm under 100 followers again  gosh darn. good mood atm. might have a bbq later. heat waaaave &lt;3
6276,sadness,@thodwris RIP Michael
6280,happiness,Straighening my hair and its not going as straight as i want it to be what a  bummerrr for me
6281,happiness,@josemarques I don't feel like having to reboot  If only OSX supported Hibernate &amp; Reboot in Bootcamp... -.-
6284,sadness,Oww. Can't even describe how much my back hurts. Going to have to go to the stupid doctor.
6285,sadness,@MynameisDon I ALWAYS miss out! I wont be able to commence in the foolishness til' the fall  But come fall I'll be visiting!! YAY!!
6289,sadness,Aaaaahhhh.... Friday!!!! but.......     Funeral at 5
6294,sadness,Sun has been making me happy =] Shame about work tonight  x
6298,sadness,@Nobilis I feel your pain. Mine is the same way
6302,sadness,Sad day in the office. Glad it's Friday. Like to get away from this for a while. Poor co-worker just lost her son.
6306,sadness,Wishes she had a pool
6309,happiness,found six great vegan places to eat and relax at; four of which I can't get to without a car
6310,sadness,Soooo not feeling well and I need to get out of bed
6311,sadness,"well it's not done yet ! 1 more thing left huaaahhhhh ! jupaa, resaaaa awas kaliaaannn !"
6314,happiness,In the university with hungry!!
6324,sadness,@chrlttgrc nope im nott! i was planning on doing but my aunties come over from america and we're havin this big family meal so i cant  xx
6328,sadness,@feltbeats That's right... kick me when I'm down.
6333,sadness,@TearlessPoet hmmm really??? that's weird idk about that one  sowwy
6337,sadness,@Nic0pic0 Lots of things Nico. Gud news: I have a job Bad news: Its in the middle of nowhere. Got my phone 4 twitter but cnt play videos.
6344,sadness,sourish limbs is preventing me from gg out on a friday. not happy. i haven't been on at 12am for a v long time...even more so on a fri
6346,happiness,"@lauradawg LOL she is okay, its just he songs are so catchy they get stuck in my head"
6351,happiness,Back in Manchester. Whats with the weather? Sweaty
6358,sadness,sick of math
6360,happiness,"@KimberlySMoore It's good they're realistic, but I still don't like thinking about it!!!"
6361,happiness,Finally left the house! It's gloomy outside.
6364,happiness,"Loving the sun today, even thought I should be revising. Not a good day though, been at Kates all afty, shit day for her bless her  x"
6372,sadness,@jferlee I didn't see it last night!  Oh well. But I HAVE to watch it in theaters. That's a MUST.
6373,sadness,@jephjacques my three most hated words are &quot;see you monday&quot;
6376,sadness,extremely bored.
6379,happiness,via @cornellfinch: Found #geocache Head's Up! http://coord.info/gc1ret6. Probably my only find of the day.  http://bit.ly/JS3S4
6382,sadness,The computer at work hates me.  have to call tech support. Again...
6397,happiness,@patsytravers http://twitpic.com/66sbz - thats actually adorable! ooh how i miss dude
6400,sadness,I wanna be out in the sunshineeeeeee
6402,sadness,"@mrs_mcsupergirl ok, finished set u free, and i am sooooo mad rite now...it cant end like that, i dont want him to be the bad guy"
6408,sadness,workout stunk...no headphones.
6412,happiness,@ddlovato miss chatting with you
6415,sadness,"headache, headache, go away. come again another day...."
6417,sadness,i wish my drems could come true
6421,sadness,im at home....on a friday night.  but it's all good!
6423,sadness,"tired and bored, watching movies while i'm home alone"
6425,sadness,"Screw it goin back to bed,,ill just go tomorrow ,,,,,kinda sad"
6429,sadness,@tinylegacies *sighs* Ah well.  Maybe my second email will clear it up and get him approved.
6430,happiness,Nt able to follow anyone  friendorfollow.com here i come!!! #itsucks
6435,happiness,"Ohhhh man  My mom got a bag of these caramel candy things, they're soooo good. I'm going to get so fat off of them ;__;"
6439,sadness,i hate interviews. im going to do horrible today
6440,sadness,@BrendonBudness unfortunatley it is the tooth kind of crown
6441,happiness,Hallooo bayern!hallooo stau!
6445,sadness,@lexie_98 Kevin can't leave work until 2
6446,sadness,Head ache  Tom's call time is really early because the shows will start at 2:30PM. Recovered like 150+ photos already... 700 more to go!
6447,happiness,@ShannonGrissom @grannypig #followfriday thank you!  I'm still not even close to what I had as @GottaLaff
6452,sadness,"@RoxieDax Ten hours ago, I was was sleeping, sorry."
6457,sadness,is in route 2 da' beach! No sun yet
6458,sadness,Aww nobody likes the album I posted after a million attempts  Boohoo
6462,sadness,"I was supported to do things I didn't like,, n when I was about to do what I intrested in,, mom always refused it..."
6463,sadness,I really miss my phone  i cant wait till my new one comes
6464,sadness,now the pic wont load up on twitter
6465,sadness,@novemberlight I sometimes fail
6466,sadness,@fossiloflife was being sarcy as usual
6467,sadness,"@SpookyJenB @diver4skynsea Stop it, you are makin' me sad"
6469,happiness,@socallove yeah  it will get better though  i know it!
6471,happiness,I'm packed up &amp; leaving my Canterbury office &amp; my fab QA&amp;V colleagues for the last time   A great bunch of people. I will miss you xx
6474,sadness,bad hair day
6478,sadness,@ToyStory2wasOk The party has to be moved to next weekend  ..stupid weather.
6479,sadness,@sirhova I was supposed to go to philly as well....bailed out last minute
6483,sadness,@Cinderell4 bad luck  oh well next time you will be more lucky...
6485,sadness,"Really good concepts at #mozconcept. I *really* love to send something mine, but no time"
6488,sadness,Ugh - car got stolen sometime between yesterday evening and this morning when husband was due to go to work  Like we can afford this???
6490,happiness,My Degree  [Tear] happy moment!  http://mypict.me/1ZpF
6491,happiness,Have a happy Friday and weekend everyone .. TGIF for me is nothing
6492,sadness,im sad about missing out on the opportunity to be in valencia's new video.
6494,happiness,"@mariamariamaria i'm sorry you aren't feeling too good, mama  I'm heading up today @ 4, i'll be calling you .."
6495,sadness,Leaving NOLA today  Counting down the seconds 'til I start crying. Love this place so much.
6496,happiness,@AnnaSaccone Seeing my friends and doing coursework  I have the weekend off work so I am happy!
6498,happiness,"@alliemunchkin :3, Youtube loves my HD videos  well maybe."
6502,sadness,"@AliceS1 hey, I can't make it to Makers tonight"
6503,happiness,Licking chocolate crumbs off a Twirl wrapper like Zammo on smack
6508,sadness,"@cbobcreson @silatjunkie  So, @kfrieze just pointed out to me that she has not been able to be involved in this convo for lack an iPhone"
6513,sadness,"It has been 24 hours now, since I had my dog put to sleep.  RIP my old friend."
6514,sadness,"I wouldn't mind some sunshine and a walk. Where are you, summer??"
6517,sadness,@windycitypretty that is sickening... Just shoot at will? Smh... Prayers for his family...
6520,sadness,"@Annie713 It's ugly and gray outside even in San Diego. Not too cold, will get to 70, but May-gray June-gloom for us all"
6523,sadness,Finally got a call for marriage counseling 3 days late....
6528,happiness,finally got out of a 12 km traffic jam. we'll probably not be able to make it in time for a few laps tonight
6529,sadness,Smart cars are the most worthless cars ever made. &amp; it makes me sad how many of them I see anymore.
6533,sadness,"@mmitchelldaviss mitchell i tryed to add you on xbox live lastnight during when i was in your live show, but your friends list is full"
6543,sadness,"Gus, formally known as world's ugliest dog has died  We'll miss you, Gus http://bit.ly/exjcn"
6544,happiness,@nicolahunt nice way 2 end the week...
6546,sadness,Finally sunny days and I'm too sick to go outside and play.
6552,sadness,so freaking tired.  It's like my body refuses to move.
6558,sadness,I fell! I think my knee is broken  but I look fabulous
6560,happiness,"Thanks everyone. Unfortunately nothing can be done. The sales speak for themselves, and if that doesn't convince Diamond, nothing will."
6561,sadness,now my ds just died  whatta letdown!
6566,sadness,"@IzzyJ_Is_Here oh hun, i'm sorry... out of everything you've been through, the last thing you deserve is to be unhappy at home.."
6569,happiness,@lanceseabourn I know  but this sub is sooooo good
6571,happiness,Whistling while you work = LAME! lol
6573,sadness,WALC-ers are you ready to cry? its going to be a long day of reminiscing
6574,sadness,@banjoist123 may I ask what bluegrass means? Sorry in advance for looking a bit silly by asking
6579,sadness,not long in from sunbathing and burnt
6580,sadness,"@ShellyKramer I've had a fever for the past 48 hours. You should see me. I'm unshaven, puffy face and look pathetic!"
6581,sadness,"@morgret Probably not, kinda expensive and we have to work. Most people have off weekends, we work."
6589,happiness,@KirstynSmith I spent 3 hours sitting out in the sun - picnic lunch + ice cream = win. We should have had a BBQ today
6591,sadness,Headache
6593,sadness,@devontebrown its cuz you love me. dont make me sad
6598,happiness,want food too
6602,happiness,@indiepixie omg a roach was in my room for the first time ever in this apartment today. I hope I don't have Patricia luck next
6603,sadness,NOO!! XBOX got red rings of death
6604,sadness,favorite shirt ruined:death by bleach  #fb
6605,sadness,Missed getting my &quot;Twilight&quot; jacket @ modcloth! Man I wish I didn't have long monkey arms and could of gotten the L instead!!
6607,happiness,well im gonna go shower now. gotta get rdy 4 movies in a couple hours!   byeee   ~~  Esther &lt;3    p.s.s i miss u katherine
6612,sadness,@joaniemaloney yep  which sucks because i thought somewhere it said it was..
6613,sadness,Suddenly I remember all the memories with him  ohhh please
6618,sadness,Paid all my bills only to go out to the mailbox to find more of them
6626,sadness,No one wants to sit with me at lunch  I guess I'll just bury my head in my laptop and continue to be anti-social.
6628,sadness,I think my book is gone forever... we mourn forever  SHIT!
6630,happiness,"Oh great, Radio Disney doesn't crash with the latest webkit, so my kid can run it again. HEY WAIT."
6635,sadness,is a failure
6636,sadness,I misses my bed  so sleepy!
6643,sadness,Earthlink says our modem is dead.  They want me to buy a new one or sign up for a one year contract ARGH!!!
6645,sadness,Frustrated with copying 13Gigs across USB 1.1.Stupid old servers
6646,sadness,Drag me to hell soundtrack from Christopher Young is delayed from june 2nd to july 7. That's SUCKS pretty bad.
6650,sadness,"Ben &amp; Jerry's fail. Got email for free ice cream. Says click here to redeem coupon. When I click, I get error message  @cherrygarcia"
6651,sadness,Listening to Opeth. Trying not to think about missing their show in San Antonio. Failing
6654,sadness,"Almost fell asleep under the hair dryer  so tired, feel like I'm going to puke"
6655,sadness,@eightwednesday @emilyhilleren I lost that membership when I got boosted to the 3 D club.  It's lonely.
6657,sadness,"wow, I didn't realized that there is a limit to the &quot;more&quot; button. That sucks... I guess two days is the max to not sign in to twitter.  !"
6658,sadness,i need new running shoes!! my feet are completely torn up
6660,sadness,@jkblacker Unfortunately I'm not @jamesog - someone's squatting on that
6669,sadness,Young love comes to an end
6670,sadness,im well bored  had a great half term and i dont wanna go back to school on monday :'( enjoying the hot weatler lo0l ;)
6674,sadness,Dang my own LDBF didnt give me a Follow Friday shot out
6683,sadness,This is what I am drinking instead of beer: Airport is out of beer.. At least it is carbonated...  http://mypict.me/1Zu9
6688,sadness,@xxxmaggie oh that sucks  I'm sorry.
6697,sadness,i could tell its gonna be an angry day...
6698,sadness,NW Macedonia: Few rainy days in a row.
6702,sadness,I hate it when my sweetie has a bad day  http://tinyurl.com/lr22dj
6703,sadness,"@verbs_n_nouns ikr? my parents take the cake tho, they don't grocery shop and they go out to eat all the time just them 2..."
6709,sadness,"@philispig  Is competition around the corner? if not take it slow for at least a week. Twisted my ankle back in jc, awfully painful."
6710,sadness,@jmorgan0909 and I'm not getting another one ... There's only 1 alfie
6711,sadness,@AC_1 welcome to the twitter world Andrew! tell david to have a twitter too haha just kiddin' i know he doesn't want to have one.. booo..
6717,sadness,I think it's unfair I have to miss the sun  all places of work should be closed an writing essays should not be allowed when it's sunny!
6718,sadness,headache
6721,sadness,Co-worker's last day  we are going to miss her
6728,sadness,Evermore &amp; End of Fashion rocks! My poor foot though! oww! injured my foot. not good. will be sore tomorrow.  details to follow  later
6733,sadness,ughhh studying for finals i wish i could go to prom
6737,sadness,Sometimes I forget that boys have feelings too
6741,sadness,"I also think that I'm talking to myself now. Okay I need to get to bed. BTW, I miss my brothers."
6750,sadness,"@tommcfly It's 12:30AM, @buonotomato stopped tweeting, my brain's not functioning. I wanna cry. Haha. Philippines tour, please?  Love ya!"
6754,sadness,ate all my chocolate
6755,sadness,moving back home today. pro: obnoxiously closer to @thom1937 con: no more mpls runs/excursions for at least a year.
6761,sadness,"@saxa246  ive been trying to get over her for years, its so hard to move on, when youre so in love..it sucks"
6767,happiness,Heading to Beaumont
6773,sadness,@pairadocsdesign and Radio X 96.1 is going all sports next month. Radio is dead.  #grandrapids
6776,sadness,(sigh) guess we're not gonna meet up today.
6780,sadness,i DID argue with byron because he said im fat
6784,sadness,Wish I was in Chicago.
6787,sadness,So I slept 12 hrs! My body is aching
6788,sadness,@erickadiaz I get to go to coffee now  It's no fun. I hate it too!
6791,sadness,@billbathgate im not a doofus  it could happen wahhh!!! :'(!!!!!!!!!! im on my break!!
6793,sadness,"@nikkibop and he's not even fat!!!! Huh, @freyalynn? He's just friggin huge!  I have a freak."
6796,sadness,left the inn  now im at school. dang its straight up dead here!! [&lt;3Hannah]
6798,sadness,Blah to car repairs... almost 600 dollars...   Shopping around for a better deal.
6800,sadness,@hootsuite  Darnit.  See what happens when I avoid teh interwebs for work.
6802,happiness,@kelseyrose56 I WISH YOU WERE GOING TOO!  are you still coming to nicoles preprom? @nicolesx319 Can't wait for preprom!!!!
6805,sadness,my apartment is emptying out more &amp; more each day.. so sad.. last week at 2000
6813,happiness,@KrystalNichole Pretty good!!! I think I overdid the gym yesterday... other than that just working
6816,sadness,@alyssa133 awww i'm sorry  what kind of fish did you have?
6821,sadness,Why are some guys so stupid? They have no idea what to do with a good girl who actually cares about them..so sad
6824,sadness,"@simonprobert yep, supposed to last all weekend. filthy weather"
6829,sadness,heading to the dmv to pay them my hard-earned money
6831,happiness,"also, Lipton's Sparkling Green Tea is gross"
6834,happiness,"@MissShell20 eeeeep so jealous ;) I'm at work  um, how can u receive Viva? Do they broadcast it online? :plz:"
6835,sadness,How do you forgive yourself for hurting the one you love the most?
6843,sadness,@MattyP_654  it's this damp weather...
6845,sadness,@scarletty24 i know.. i suck.. i'm a master procrastinator  ... you guys don't have too much fun without me
6846,sadness,last day off... back to work tomorrow
6851,sadness,wishing i was on a beach right now!!
6853,happiness,@OakMonster I hear ya.
6857,sadness,Is not a happy bunny
6858,sadness,"@Lesley_M Melted maybe 2 square inches of skin. Ran it under cold water for a min or two and then iced until the ice melted. Now, hurts"
6859,sadness,"Tbh having no credit in your phone sux. i cant even text people to see what's happening, like its totally grrrsville"
6869,sadness,@MrsWilliams @Timperator fï¿½hlt sich ganz so an #montezuma #iphone
6876,sadness,it will be my second year that i will not be there
6877,sadness,@FRANK_URQUIDEZ I MISS U
6888,sadness,43416 I miss you so much my heart is aching without you bub  http://is.gd/Ja9I
6889,sadness,being far too vigorous with pruning and regretting the removal of too many cucumber flowers off cucumber plant.
6893,sadness,"@tommcfly Tom , today my school played POV at the break , and I almost cryed !  your show in sao paulo is today ! I wish i could be there!"
6899,sadness,oh i just check my stock port. My marketing was unable to buy me TICON at best price
6903,sadness,"@cameronmarion me too  no one even liked my answers to life last night, pshh"
6907,sadness,@JHall510 I'm good just bored at work
6910,sadness,"Oh PW, you done me wrong. The signing time in ur children's article are all wrong...and no Neil Gaiman?! You tease me.  #bea"
6916,sadness,"Jeff can't get his visa in time to come visit me!    I'm so sad.  In other news, I'm going to Lapa tonight to samba the night away."
6917,sadness,sooo tired of this cubicle
6919,sadness,laying in bed listening to opticon. i miss joe veneck
6921,sadness,"when i cheered,i yelled SHAKE THESE at the end of a chant and did the suck it &quot;X&quot; and got suspended &amp; had to give a public apology,lol"
6929,sadness,@redhalo_pax goddamn   that fucking sucks *hugs*
6930,sadness,Will miss my baby for 2 days
6934,happiness,@raczilla nice beta for easports still no news on the online for madden
6943,sadness,"I'm so tired idk what 2 do...and I have 2 much 2 do ...church 2 nite, gotta write sermon, wash &amp; flat iron hair, eat! so so much 2 do"
6945,sadness,at wk wishin I was at Annies grad ceremony but coodnt becuz of sumthin I dnt care to mention... sooo sad
6947,happiness,Just recollecting my jog this a.m. - almost perfect except unkown type hanging out by my vehicle.  Too much mental noise- only 6 mile jog
